policy,seed,transaction_cost_bps,cum_ret,ann_ret,ann_vol,sharpe,sortino,max_dd,total_fees,total_turnover,final_value,n_steps
SMA,2,0.0,0.6027197935072917,2.1011557407167456,0.4577485880835959,4.590195905598435,4.6354657704008275,-0.16167200138273316,0.0,1064.0,16027.197935072916,3651
Agent_DoubleDQN,3,0.0,0.627241610311057,2.216221121901977,0.544922677250793,4.067037717007352,4.925432563282422,-0.23811471313983482,0.0,145.00000262260437,16272.41610311057,3651
Random,3,0.0,0.2839447866682179,0.821544906375852,0.46745830439223013,1.7574720163957092,2.0437413597805265,-0.3579123256610793,0.0,4821.166670799255,12839.447866682178,3651
HoldCash,3,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,10000.0,3651
HoldAsset0,3,0.0,0.6300067419337019,2.22934971228262,0.6495186841230054,3.432310312935238,4.486469575607737,-0.29627889184779616,0.0,2.0,16300.06741933702,3651
EqualWeight,3,0.0,0.7206613166711384,2.6771725801522583,0.5537003484487679,4.8350566137478275,5.924457679017171,-0.21070554914245446,0.0,2.0,17206.613166711384,3651
SMA,3,0.0,0.6027197935072917,2.1011557407167456,0.4577485880835959,4.590195905598435,4.6354657704008275,-0.16167200138273316,0.0,1064.0,16027.197935072916,3651
Agent_DoubleDQN,4,0.0,0.07653130881423609,0.19355639218826814,0.08469147684202857,2.285429142946807,0.39014519068579234,-0.04001236621476914,0.0,119.0,10765.31308814236,3651
Random,4,0.0,0.5213431406129199,1.7366889956845557,0.46722730952217917,3.7170108063471563,4.447453389983308,-0.14971350584891788,0.0,4720.666670322418,15213.431406129199,3651
HoldCash,4,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,10000.0,3651
HoldAsset0,4,0.0,0.6300067419337019,2.22934971228262,0.6495186841230054,3.432310312935238,4.486469575607737,-0.29627889184779616,0.0,2.0,16300.06741933702,3651
EqualWeight,4,0.0,0.7206613166711384,2.6771725801522583,0.5537003484487679,4.8350566137478275,5.924457679017171,-0.21070554914245446,0.0,2.0,17206.613166711384,3651
SMA,4,0.0,0.6027197935072917,2.1011557407167456,0.4577485880835959,4.590195905598435,4.6354657704008275,-0.16167200138273316,0.0,1064.0,16027.197935072916,3651
Agent_DoubleDQN,0,10.0,0.5325272611286682,1.7852092053287416,0.6444566168100603,2.7700998501096854,3.6226735934886323,-0.30480926665880603,1125.278233736686,83.83333325386047,15325.272611286682,3651
Random,0,10.0,-0.9862467372871221,-0.9999658494659139,0.4595821104427667,-2.175815387470982,-2.7289266838547435,-0.9865698558060803,10630.472068156647,4797.500003457069,137.53262712877913,3651
HoldCash,0,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,10000.0,3651
HoldAsset0,0,10.0,0.6267423361420563,2.2138539380417845,0.6495371771862867,3.4083559520770796,4.455691297887731,-0.2962788918477941,20.0,2.0,16267.423361420562,3651
EqualWeight,0,10.0,0.7172159089708865,2.6595307840346245,0.5537207282568922,4.8030182008476014,5.885956469373912,-0.2107055491424523,20.0,2.0,17172.159089708864,3651
SMA,0,10.0,-0.44738857963170986,-0.7590222331195939,0.46178954268018124,-1.6436539733614661,-1.83230810335706,-0.456798070711124,8056.952634986181,1064.0,5526.1142036829015,3651
Agent_DoubleDQN,1,10.0,0.5348739921187595,1.7954532235213816,0.6461241627158938,2.7788052193968253,3.616540760025629,-0.3192593903420156,402.9094475483744,30.000000476837158,15348.739921187595,3651
Random,1,10.0,-0.9910886646646612,-0.9999879438039557,0.47135236427756727,-2.121529450947644,-2.66808791625534,-0.9911598817939993,9805.994871843006,4843.500005841255,89.11335335338835,3651
HoldCash,1,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,10000.0,3651
HoldAsset0,1,10.0,0.6267423361420563,2.2138539380417845,0.6495371771862867,3.4083559520770796,4.455691297887731,-0.2962788918477941,20.0,2.0,16267.423361420562,3651
EqualWeight,1,10.0,0.7172159089708865,2.6595307840346245,0.5537207282568922,4.8030182008476014,5.885956469373912,-0.2107055491424523,20.0,2.0,17172.159089708864,3651
SMA,1,10.0,-0.44738857963170986,-0.7590222331195939,0.46178954268018124,-1.6436539733614661,-1.83230810335706,-0.456798070711124,8056.952634986181,1064.0,5526.1142036829015,3651
Agent_DoubleDQN,2,10.0,0.24704671827577696,0.6984607230444722,0.35326019818262944,1.9771848254230209,2.765899499305853,-0.2024248696729368,595.6018404072423,49.666666746139526,12470.46718275777,3651
Random,2,10.0,-0.9891734531530156,-0.9999807660740871,0.4583878589903906,-2.1815166450119348,-2.820435241635869,-0.989335552738032,10311.91264361361,4776.500003218651,108.26546846984314,3651
HoldCash,2,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,10000.0,3651
HoldAsset0,2,10.0,0.6267423361420563,2.2138539380417845,0.6495371771862867,3.4083559520770796,4.455691297887731,-0.2962788918477941,20.0,2.0,16267.423361420562,3651
EqualWeight,2,10.0,0.7172159089708865,2.6595307840346245,0.5537207282568922,4.8030182008476014,5.885956469373912,-0.2107055491424523,20.0,2.0,17172.159089708864,3651
SMA,2,10.0,-0.44738857963170986,-0.7590222331195939,0.46178954268018124,-1.6436539733614661,-1.83230810335706,-0.456798070711124,8056.952634986181,1064.0,5526.1142036829015,3651
Agent_DoubleDQN,3,10.0,0.22438921831226866,0.625357867182375,0.6556932013318946,0.9537354609972244,1.257607276830665,-0.388407281198415,3827.8884189471214,307.0000011920929,12243.892183122687,3651
Random,3,10.0,-0.9896925717572108,-0.9999829050894757,0.4712736705383486,-2.1218730143112774,-2.710354227577611,-0.9898883211552936,11129.573823528413,4821.166670799255,103.07428242789219,3651
HoldCash,3,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,10000.0,3651
HoldAsset0,3,10.0,0.6267423361420563,2.2138539380417845,0.6495371771862867,3.4083559520770796,4.455691297887731,-0.2962788918477941,20.0,2.0,16267.423361420562,3651
EqualWeight,3,10.0,0.7172159089708865,2.6595307840346245,0.5537207282568922,4.8030182008476014,5.885956469373912,-0.2107055491424523,20.0,2.0,17172.159089708864,3651
SMA,3,10.0,-0.44738857963170986,-0.7590222331195939,0.46178954268018124,-1.6436539733614661,-1.83230810335706,-0.456798070711124,8056.952634986181,1064.0,5526.1142036829015,3651
Agent_DoubleDQN,4,10.0,0.6397862939921335,2.2760325916953694,0.5488029973731894,4.147266981260643,5.060044538606316,-0.21882454201981125,367.69012731153236,25.66666579246521,16397.862939921335,3651
Random,4,10.0,-0.9864872822815057,-0.9999672650822046,0.4696896141079116,-2.128995859726425,-2.803776624812721,-0.9867170487001283,10866.471271486073,4720.666670322418,135.1271771849427,3651
HoldCash,4,10.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,10000.0,3651
